TM,lat,lon,ERA5_precipitation,ERA5_start_soil,ERA5_delta_soil,soil_temperature,evaporation,leaf_area_index_low_vegetation,pressure,temperature,wind_u,wind_v,Aspect,Dem,Slope,CLCD,BD,CLAY,GRAVL,POROSITY,SAND,SILT,EVI-day,NDVI-day,fenqu_ID,texture_class,topography_class,joint_class,FC_0_7cm,ASML1_RSM,DSML1_RSM,END_RSM
2022_10_28,29.1958,103.8042,0.0006763130659237,0.4028778076171875,0.007781982421875,290.574462890625,-0.0008140238933265,2.385498046875,95286.375,290.22662353515625,-0.57940673828125,-1.0205841064453125,83.3041000366211,452.0,0.6197457909584045,1.0,1.23,24.94,13.35,53.72,36.95,38.1,0.115675002336502,0.140587493777275,6.0,Loam,1,Loam_1,0.319,102.67803543012654,1.983327579038917,104.66136300916546
2020_05_23,44.7958,127.2042,0.0042361766099929,0.38787841796875,0.037139892578125,288.7491149902344,-0.0011280993930995,1.5654296875,98227.3125,290.097900390625,-0.668304443359375,1.454026222229004,242.1027374267578,189.0,0.0868776813149452,1.0,1.15,21.37,13.69,56.97,30.58,48.04,0.1377875059843063,0.2727625072002411,1.0,Loam,1,Loam_1,0.28280607,119.26391142962078,11.41968373012183,130.6835951597426
2019_05_25,44.8958,123.2042,0.0112215280532836,0.345489501953125,0.1745147705078125,301.89190673828125,-0.002967516425997,0.7904052734375,98264.34375,306.00341796875,0.9073638916015624,-1.55047607421875,59.0362434387207,140.0,0.0150490505620837,1.0,1.44,21.23,10.96,49.79,39.42,39.34,0.1324999928474426,0.1678999960422516,1.0,Loam,1,Loam_1,0.28698045,83.60265141588067,42.22964067853666,125.83229209441734
2017_01_06,28.8958,120.2042,0.0031796023249626,0.4627532958984375,0.0288543701171875,286.3072509765625,-0.0003391141071915,2.521484375,98569.265625,285.79376220703125,-1.212677001953125,-0.0854949951171875,298.5358581542969,301.0,1.3841582536697388,1.0,1.18,19.17,17.89,54.66,41.16,39.65,0.2574500143527984,0.6541249752044678,7.0,Loam,1,Loam_1,0.27461872,142.80301433326235,8.90429320751143,151.7073075407738
2017_08_04,28.4958,108.0042,0.0006110444664955,0.3480377197265625,0.0128021240234375,304.9781799316406,-0.003886945080012,2.7647705078125,89329.4375,303.81298828125,-2.51080322265625,0.061004638671875,203.9045867919922,788.0,0.4537954330444336,1.0,1.19,26.41,18.09,55.97,35.88,37.7,0.5593875050544739,0.8380500078201294,8.0,Loam,1,Loam_1,0.32525,89.9211904809003,3.307636407272364,93.22882688817266
2019_04_21,25.1958,107.5042,0.0008557215332984,0.491485595703125,0.004791259765625,295.6391906738281,-0.0011145952157676,2.7554931640625,90802.421875,296.824951171875,0.27996826171875,-1.02593994140625,167.80303955078125,848.0,0.2779098749160766,1.0,1.3,21.02,14.9,55.2,34.62,44.34,0.2245749980211258,0.3241375088691711,8.0,Loam,1,Loam_1,0.26478872,142.78019201443237,1.3918963145772048,144.17208832900957
2020_07_01,41.3958,120.6042,0.0002929121255874,0.1486358642578125,0.001129150390625,307.0522766113281,-0.0008131451904773,1.716796875,97353.53125,303.081298828125,-0.848724365234375,-2.3122100830078125,198.9911956787109,246.0,0.420329213142395,1.0,1.25,16.86,29.66,48.98,44.04,39.09,0.4495562613010406,0.6455625295639038,1.0,Sandy Loam,1,Sandy Loam_1,0.26118,45.52748732914082,0.3458612116165097,45.87334854075733
2022_06_26,37.3958,121.3042,0.0409227088093757,0.2206878662109375,0.19464111328125,304.63287353515625,-0.002417511306703,2.45068359375,99297.0625,304.578369140625,-0.0892181396484375,4.657485961914063,34.733211517333984,43.0,0.4914732277393341,1.0,1.33,11.2,22.26,49.620000000000005,55.0,33.79,0.5335999727249146,0.684499979019165,3.0,Sandy Loam,1,Sandy Loam_1,0.26976,61.51050062069584,54.25070496560853,115.76120558630438
2017_09_30,41.8958,123.3042,0.0020570755004882,0.3109588623046875,0.049713134765625,292.94793701171875,-0.0021953103132545,1.160400390625,100805.890625,295.558837890625,-0.8443603515625,2.455795288085937,223.3634185791016,51.0,0.0638998299837112,1.0,1.35,19.22,11.4,50.17,31.22,49.55,0.3050999939441681,0.5051000118255615,1.0,Loam,1,Loam_1,0.30182,76.31697634466643,12.200829723289818,88.51780606795624
2020_10_14,27.9958,111.8042,0.0043446794152259,0.4691162109375,0.0258331298828125,289.9305419921875,-0.0004896256141364,2.3363037109375,96748.34375,288.175048828125,-0.493255615234375,-4.066099166870117,164.74488830566406,381.0,0.6841378808021545,1.0,1.15,23.58,15.47,55.42,36.57,39.83,0.4458749890327453,0.7717249989509583,7.0,Loam,1,Loam_1,0.31657392,128.85683695790613,7.095843903517276,135.9526808614234
2018_10_21,40.6958,123.6042,0.0025577768683433,0.2957763671875,0.0320281982421875,285.60076904296875,-0.0009840065613389,2.6328125,97791.453125,287.1134033203125,-0.135101318359375,1.7977447509765625,319.2028503417969,217.0,0.9212684035301208,1.0,1.28,17.92,19.06,54.25,49.55,32.51,0.1955000013113021,0.3965499997138977,1.0,Sandy Loam,1,Sandy Loam_1,0.27251,84.79515866031868,9.18205932872518,93.97721798904384
2021_08_06,23.5958,105.4042,0.0017177909612655,0.346099853515625,0.0086669921875,301.8231201171875,-0.0041458969935774,2.2772216796875,84911.25,300.897705078125,-0.0760498046875,1.0202789306640625,83.91390991210938,1502.0,0.8032608032226562,1.0,1.27,29.59,24.35,55.33,30.81,39.59,0.5946499705314636,0.5204499959945679,8.0,Clay Loam,4,Clay Loam_4,0.33508304,81.3289654102883,2.03663047143302,83.36559588172132
2019_12_30,28.4958,119.9042,0.0001959055662155,0.4254150390625,0.0282745361328125,287.843017578125,-0.000805321149528,2.843017578125,99186.046875,287.2993469238281,-0.3025760650634765,-2.4877166748046875,246.4920349121093,92.0,0.941358745098114,1.0,1.22,21.62,12.1,52.66,28.61,49.76,0.1071000024676323,0.1758749932050705,7.0,Loam,1,Loam_1,0.19726,176.77220505453403,11.748884360331834,188.52108941486583
